Community Name,Crime Category,Number of Records,Year,Incidents
ABBEYDALE,Assault (Non-domestic),1,2012,12
ACADIA,Assault (Non-domestic),1,2012,35
ALBERT PARK/RADISSON HEIGHTS,Assault (Non-domestic),1,2012,52
ALTADORE,Assault (Non-domestic),1,2012,16
ALYTH/BONNYBROOK,Assault (Non-domestic),1,2012,1
APPLEWOOD PARK,Assault (Non-domestic),1,2012,6
ARBOUR LAKE,Assault (Non-domestic),1,2012,7
ASPEN WOODS,Assault (Non-domestic),1,2012,3
AUBURN BAY,Assault (Non-domestic),1,2012,3
AURORA BUSINESS PARK,Assault (Non-domestic),1,2012,0
BANFF TRAIL,Assault (Non-domestic),1,2012,9
BANKVIEW,Assault (Non-domestic),1,2012,17
BAYVIEW,Assault (Non-domestic),1,2012,0
BEDDINGTON HEIGHTS,Assault (Non-domestic),1,2012,13
BELTLINE,Assault (Non-domestic),1,2012,189
BONAVISTA DOWNS,Assault (Non-domestic),1,2012,0
BOWNESS,Assault (Non-domestic),1,2012,54
BRAESIDE,Assault (Non-domestic),1,2012,6
BRENTWOOD,Assault (Non-domestic),1,2012,3
BRIDGELAND/RIVERSIDE,Assault (Non-domestic),1,2012,25
BRIDLEWOOD,Assault (Non-domestic),1,2012,5
BRITANNIA,Assault (Non-domestic),1,2012,0
BURNS INDUSTRIAL,Assault (Non-domestic),1,2012,1
CALGARY INTERNATIONAL AIRPORT,Assault (Non-domestic),1,2012,7
CAMBRIAN HEIGHTS,Assault (Non-domestic),1,2012,1
CANADA OLYMPIC PARK,Assault (Non-domestic),1,2012,1
CANYON MEADOWS,Assault (Non-domestic),1,2012,10
CAPITOL HILL,Assault (Non-domestic),1,2012,8
CARRINGTON,Assault (Non-domestic),1,2012,0
CASTLERIDGE,Assault (Non-domestic),1,2012,13
CEDARBRAE,Assault (Non-domestic),1,2012,8
CFB - CURRIE,Assault (Non-domestic),1,2012,2
CFB - LINCOLN PARK PMQ,Assault (Non-domestic),1,2012,1
CHAPARRAL,Assault (Non-domestic),1,2012,4
CHARLESWOOD,Assault (Non-domestic),1,2012,0
CHINATOWN,Assault (Non-domestic),1,2012,4
CHINOOK PARK,Assault (Non-domestic),1,2012,0
CHRISTIE PARK,Assault (Non-domestic),1,2012,0
CITADEL,Assault (Non-domestic),1,2012,0
CITYSCAPE,Assault (Non-domestic),1,2012,0
CLIFF BUNGALOW,Assault (Non-domestic),1,2012,11
COACH HILL,Assault (Non-domestic),1,2012,0
COLLINGWOOD,Assault (Non-domestic),1,2012,1
COPPERFIELD,Assault (Non-domestic),1,2012,5
CORAL SPRINGS,Assault (Non-domestic),1,2012,2
COUGAR RIDGE,Assault (Non-domestic),1,2012,0
COUNTRY HILLS,Assault (Non-domestic),1,2012,2
COUNTRY HILLS VILLAGE,Assault (Non-domestic),1,2012,3
COVENTRY HILLS,Assault (Non-domestic),1,2012,10
CRANSTON,Assault (Non-domestic),1,2012,9
CRESCENT HEIGHTS,Assault (Non-domestic),1,2012,8
DALHOUSIE,Assault (Non-domestic),1,2012,11
DEER RIDGE,Assault (Non-domestic),1,2012,8
DEER RUN,Assault (Non-domestic),1,2012,3
DEERFOOT BUSINESS CENTRE,Assault (Non-domestic),1,2012,9
