name,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
ABBEYDALE,5917,6150,6071,6167,5912,6043
ACADIA,10705,11007,10969,11053,10767,10660
ALBERT PARK/RADISSON HEIGHTS,6234,6094,6529,6611,6673,6745
ALTADORE,9116,9317,9518,9867,6676,6795
APPLEWOOD PARK,6498,6745,6864,6863,6764,6921
ARBOUR LAKE,10836,10961,10987,10947,10921,10713
ASPEN WOODS,5323,6440,7496,8271,9055,9212
AUBURN BAY,7193,8885,11127,13191,14559,16429
BANFF TRAIL,3837,4119,4204,4335,4189,4092
BANKVIEW,5221,5256,5416,5516,5158,5090
BAYVIEW,682,665,669,648,665,638
BEDDINGTON HEIGHTS,11585,11814,11867,11973,11792,11694
BEL-AIRE,424,442,434,402,408,410
BELTLINE,19681,20266,21357,21939,21958,23219
BELVEDERE,0,0,0,0,0,46
BONAVISTA DOWNS,925,923,956,971,923,911
BOWNESS,11012,11074,11611,11235,11010,10895
BRAESIDE,5940,5841,5960,6049,5985,5960
BRENTWOOD,6059,6106,6206,6941,7133,7132
BRIDGELAND/RIVERSIDE,5594,5560,5962,6010,6052,6332
BRIDLEWOOD,11835,12432,12588,13045,12711,12696
BRITANNIA,803,757,722,711,717,668
CAMBRIAN HEIGHTS,2059,2063,2090,2150,2107,2075
CANYON MEADOWS,7787,7851,7838,7949,7855,7553
CAPITOL HILL,4015,4164,4413,4465,4571,4459
CASTLERIDGE,6096,6410,6396,6475,6305,6181
CEDARBRAE,6237,6273,6271,6308,6177,6075
CHAPARRAL,11552,12018,12407,13000,13013,12964
CHARLESWOOD/COLLINGWOOD,5643,5805,5946,5969,5874,5798
CHINATOWN,1577,1600,1836,1906,2104,2124
CHINOOK PARK,1707,1704,1708,1702,1687,1663
CHRISTIE PARK,2196,2214,2217,2162,2153,2148
CITADEL,10197,10333,10391,10517,10509,10293
CITYSCAPE,0,0,0,627,1551,2529
CLIFF BUNGALOW,1936,1954,2049,2125,1925,1796
COACH HILL,3279,3252,3303,3301,3317,3271
COPPERFIELD,7834,9006,9966,11434,12571,13017
CORAL SPRINGS,5868,5967,6018,5853,5831,5792
CORNERSTONE,0,0,0,0,0,54
COUGAR RIDGE,5874,6108,6702,6954,7015,7072
COUNTRY HILLS,3728,3788,3787,3835,3829,3806
COUNTRY HILLS VILLAGE,2615,2626,2710,2691,2689,2596
COVENTRY HILLS,15969,16720,16941,17546,17459,17564
CRANSTON,11857,13496,15354,17185,18013,18559
CRESCENT HEIGHTS,6271,6256,6235,6380,6097,6197
CRESTMONT,1454,1517,1514,1542,1538,1540
CURRIE BARRACKS,172,268,414,502,729,857
DALHOUSIE,9085,9075,9186,9362,9111,8992
DEER RIDGE,4084,4191,4165,4316,4110,4086
DEER RUN,5341,5375,5335,5319,5182,5111
DIAMOND COVE,699,681,713,711,727,727
DISCOVERY RIDGE,4350,4349,4462,4401,4331,4268
DOUGLASDALE/GLEN,11890,12149,12952,12714,12697,12745
DOVER,10474,10634,11024,10970,10928,10484
DOWNTOWN COMMERCIAL CORE,8015,8495,8999,9083,8758,8477
DOWNTOWN EAST VILLAGE,2782,2776,2705,2838,3242,3480
DOWNTOWN WEST END,2322,2285,2287,2501,2344,2456
EAGLE RIDGE,415,435,500,534,474,477
EAU CLAIRE,1851,1739,1886,1683,1666,1494
EDGEMONT,15898,16027,16052,15986,15708,15701
ELBOW PARK,3377,3468,3126,3304,3328,3360
ELBOYA,1712,1800,1736,1849,1810,1783
ERIN WOODS,6901,7209,7146,7309,7034,6974
ERLTON,1234,1224,1210,1280,1251,1307
EVANSTON,6594,8326,10030,12883,14264,15885
EVERGREEN,20110,20918,21386,21700,21394,21439
FAIRVIEW,3623,3789,3837,3830,3847,3686
FALCONRIDGE,10381,10744,10840,11088,10881,10352
FOREST HEIGHTS,6212,6454,6511,6648,6538,6406
FOREST LAWN,7487,7857,8037,8179,7711,7772
GARRISON GREEN,1973,2008,2065,2031,2066,2093
GARRISON WOODS,0,0,0,0,3188,3179
GLAMORGAN,6376,6416,6486,6432,6457,6385
GLENBROOK,7056,7041,7202,7599,7189,7209
GLENDALE,2749,2743,2739,2794,2809,2768
GREENVIEW,1975,2055,2142,2113,1977,2036
GREENWOOD/GREENBRIAR,946,943,950,957,921,912
HAMPTONS,7905,7866,7775,7767,7706,7567
HARVEST HILLS,7402,7492,7594,7593,7568,7302
HAWKWOOD,9831,9851,9773,9828,9697,9512
HAYSBORO,6943,7043,7240,7255,7086,7076
HIDDEN VALLEY,11799,11888,11874,11900,11869,11708
HIGHLAND PARK,3792,3737,3965,4139,4014,3998
HIGHWOOD,2214,2223,2229,2314,2329,2233
HILLHURST,6291,6401,6497,6737,6737,6648
HOUNSFIELD HEIGHTS/BRIAR HILL,2954,3014,2921,2972,2972,3016
HUNTINGTON HILLS,13213,13651,13536,13781,13497,13154
INGLEWOOD,3564,3682,3647,3935,3865,4008
KELVIN GROVE,2343,2421,2385,2234,2361,2311
KILLARNEY/GLENGARRY,6816,6909,7231,7677,7463,7423
KINCORA,4876,5130,5398,5974,6166,6363
KINGSLAND,4513,4591,4812,4733,4699,4667
LAKE BONAVISTA,10475,10552,10502,10529,10478,10419
LAKEVIEW,5468,5446,5476,5451,5457,5535
LEGACY,0,0,351,1303,2359,3919
LINCOLN PARK,2505,2567,2623,2726,2689,2441
LOWER MOUNT ROYAL,3180,3274,3319,3480,3365,3239
MACEWAN GLEN,5100,5108,5053,5029,4932,4930
MAHOGANY,1266,1917,2660,4960,7000,8444
MANCHESTER,618,640,1332,1055,1013,1052
MAPLE RIDGE,1910,1927,1936,1938,1953,1937
MARLBOROUGH,8434,8719,8989,9080,8784,9226
MARLBOROUGH PARK,8391,8479,8741,8878,8711,8673
MARTINDALE,13674,14221,14761,15055,14877,14708
MAYFAIR,481,487,473,478,450,431
MAYLAND HEIGHTS,5833,5950,6357,6157,5919,5808
MCKENZIE LAKE,14050,14222,14189,14008,13709,13616
MCKENZIE TOWNE,16102,17168,17737,18029,18124,18106
MEADOWLARK PARK,623,626,632,651,659,665
MIDNAPORE,6861,6979,6956,7183,7099,7320
MILLRISE,6892,6937,7052,7041,6886,6990
MISSION,4325,4297,4350,4494,4430,4583
MONTEREY PARK,10470,10689,10703,10835,10671,10670
MONTGOMERY,3860,3976,4104,4246,4358,4353
MOUNT PLEASANT,4851,4873,5442,5617,5665,5811
NEW BRIGHTON,8303,9715,10628,11229,12060,12548
NOLAN HILL,0,147,550,1723,3756,5312
NORTH GLENMORE PARK,2386,2342,2380,2386,2398,2396
NORTH HAVEN,2288,2382,2434,2473,2440,2376
NORTH HAVEN UPPER,622,627,637,624,620,620
OAKRIDGE,5651,5680,5650,5759,5734,5667
OGDEN,8702,8876,8918,8847,8714,8558
PALLISER,3293,3402,3437,3516,3490,3484
PANORAMA HILLS,22247,23746,25130,25993,25729,25925
PARKDALE,2296,2305,2341,2393,2412,2565
PARKHILL,1592,1613,1605,1686,1697,1690
PARKLAND,3785,3790,3769,3780,3677,3685
PATTERSON,4281,4284,4350,4308,4258,4128
PENBROOKE MEADOWS,8547,8218,8760,8864,8594,8324
PINERIDGE,9644,9988,10122,10212,9939,9741
POINT MCKAY,1318,1334,1348,1334,1364,1354
PUMP HILL,1614,1704,1666,1705,1671,1649
QUEENS PARK VILLAGE,415,464,478,486,465,430
QUEENSLAND,4771,4889,4984,4956,4823,4787
RAMSAY,2110,2081,2157,2201,2116,2110
RANCHLANDS,7626,7833,7926,7873,7731,7629
RED CARPET,1555,1594,1705,1668,1727,1605
REDSTONE,0,174,818,1950,2374,3392
RENFREW,5846,5963,6045,6550,6436,6397
RICHMOND,4229,4388,4551,4663,4705,4781
RIDEAU PARK,636,644,498,623,616,597
RIVERBEND,9684,9717,9696,9612,9430,9338
ROCKY RIDGE,7662,7894,8182,8229,8268,8381
ROSEDALE,1569,1517,1579,1653,1490,1536
ROSEMONT,1241,1272,1241,1276,1240,1234
ROSSCARROCK,3356,3317,3408,3447,3639,3527
ROXBORO,421,411,243,402,391,390
ROYAL OAK,11252,11075,11650,11749,11705,11682
RUNDLE,11258,11613,11542,11946,11733,11558
RUTLAND PARK,2227,2221,2276,2344,2328,2370
SADDLE RIDGE,14372,15402,17775,18994,19256,19911
SAGE HILL,2189,2985,3900,4578,5493,6083
SANDSTONE VALLEY,6253,6230,6190,6103,6033,5965
SCARBORO,880,898,919,917,909,915
SCARBORO/ SUNALTA WEST,410,409,410,390,385,406
SCENIC ACRES,8650,8599,8595,8542,8399,8251
SETON,0,0,0,0,0,350
SHAGANAPPI,1553,1527,1530,1603,1560,1693
SHAWNEE SLOPES,1565,1588,1580,1597,1573,1625
SHAWNESSY,9385,9526,9602,9546,9411,9448
SHERWOOD,2523,3122,3778,4200,4896,5312
SIGNAL HILL,13914,13952,13763,13613,13616,13533
SILVER SPRINGS,8933,8944,8900,8959,8875,8774
SILVERADO,5136,5966,6305,6827,6763,6907
SKYVIEW RANCH,2990,4519,6284,7327,8578,10043
