NAME,STATION_TY,ADDRESS,INFO,latitude,longitude,location,City Quadrants,Ward Boundaries,Calgary Communities,:@computed_region_hq2j_w7j9
DISTRICT 4 OFFICE,District Office,3207 12 AV NE,(403)428-6400,51.062528883644,-113.987714413762,"(51.062528883644, -113.987714413762)",4,12,84,213
DISTRICT 5 OFFICE,District Office,800 SADDLETOWNE CI NE,(403)428-6500,51.124463865055,-113.944503457786,"(51.124463865055, -113.944503457786)",4,11,2,143
DISTRICT 3 OFFICE,District Office,4303 14 ST NW,(403)428-6300,51.0917198102484,-114.094989828345,"(51.091719810248, -114.094989828345)",2,2,8,44
WESTWINDS CAMPUS,Headquarter,5111 47 ST NE,(403)428-2200,51.0999499350923,-113.972880742521,"(51.099949935092, -113.972880742521)",4,9,80,225
DISTRICT 7 OFFICE (TRI-SERVICES),District Office,11955 COUNTRY VILLAGE LI NE,(403)428-6700,51.1594285267079,-114.067971390547,"(51.159428526708, -114.067971390547)",4,11,264,112
AIRPORT OFFICE,COPS Stn.,2000 AIRPORT RD NE,(403)735-1200,51.1345585274817,-114.011520418266,"(51.134558527482, -114.011520418266)",4,11,86,226
MARKET MALL STATION,COPS Stn.,3625 SHAGANAPPI TR NW,(403)974-0511,51.0858832528261,-114.153527054555,"(51.085883252826, -114.153527054555)",2,13,269,127
SETON,TDF,3795 SETON LI SE,,50.8774791447003,-113.955092525064,"(50.8774791447, -113.955092525064)",3,4,90,197
ROYAL VISTA,TDF,16 ROYAL VISTA WY NW,,51.1530940830486,-114.205464523189,"(51.153094083049, -114.205464523189)",2,3,157,105
DISTRICT 8 OFFICE (TRI-SERVICES),District Office,450 MIDPARK WY SE,(403)428-6800,50.906776189676,-114.059405342037,"(50.906776189676, -114.059405342037)",3,6,263,161
DISTRICT 6 OFFICE,District Office,8325 BONAVENTURE DR SE,(403)428-6600,50.9785278007982,-114.068562473917,"(50.978527800798, -114.068562473917)",3,10,174,81
NORTH SERVICE CENTRE,District Office,6528 11 ST NE,(403)428-5500,51.1120645786122,-114.036142716138,"(51.112064578612, -114.036142716138)",4,11,111,208
DISTRICT 1 OFFICE,District Office,1010 26 AV SE,(403)428-6100,51.0306094877723,-114.03880001746,"(51.030609487772, -114.03880001746)",3,10,98,106
CHINOOK CENTRE MALL STATION,COPS Stn.,6455 MACLEOD TR S,(403)428-5810,50.9976617912878,-114.071999314806,"(50.997661791288, -114.071999314806)",1,8,64,210
DISTRICT 2 OFFICE,District Office,4506 17 AV SW,(403)428-6200,51.0381118512229,-114.15142660627,"(51.038111851223, -114.15142660627)",1,14,281,36
